"city","floor","listing_id","listing_title","listing_url","neighborhood","num_bathrooms","num_rooms","price_dh","price_per_m2","property_type","scraped_at","standing","state","surface_m2","transaction_type"
"marrakech",,"8158291","Charmant T2 à vendre Idéal investissement","https://www.mubawab.ma/fr/pa/8158291/charmant-t2-%C3%A0-vendre-id%C3%A9al-investissement","gueliz","1","2","818100","18180","appartement","2026-03-28T20:16:42.190Z","haut_standing","en_cours_de_construction","45","vente"
"marrakech",,"8068874","Appartement en vente à Guéliz","https://www.mubawab.ma/fr/pa/8068874/appartement-en-vente-%C3%A0-gu%C3%A9liz","gueliz","1","2","874000","19000","appartement","2026-03-28T20:16:47.089Z","haut_standing","en_cours_de_construction","46","vente"
"casablanca",,"8102156","Appartement à l'achat à Californie. 3 pièces confortables. Piscine et air conditionné","https://www.mubawab.ma/fr/pa/8102156/appartement-%C3%A0-l-achat-%C3%A0-californie-3-pi%C3%A8ces-confortables-piscine-et-air-conditionn%C3%A9","californie","2","3","1270000","18405.8","appartement","2026-03-28T20:16:47.264Z","haut_standing","en_cours_de_construction","69","unknown"
"marrakech",,"8304904","Vente d'un bel appartement à Mhamid. 3 belles chambres","https://www.mubawab.ma/fr/pa/8304904/vente-d-un-bel-appartement-%C3%A0-mhamid-3-belles-chambres","mhamid","2","3","576000","9000","appartement","2026-03-28T20:16:48.087Z","moyen_standing","en_cours_de_construction","64","vente"
"casablanca",,"8273096","Appartement en vente à Ain Diab Extension. Surface de 126 m²","https://www.mubawab.ma/fr/pa/8273096/appartement-en-vente-%C3%A0-ain-diab-extension-surface-de-126-m%C2%B2","ain diab extension","3","3","1900000","15079.37","appartement","2026-03-28T20:17:04.473Z","haut_standing","finalise","126","vente"
"marrakech","4","8312588","Appt 2 chambres neuf cœur de Guéliz plaza","https://www.mubawab.ma/fr/a/8312588/appt-2-chambres-neuf-c%C5%93ur-de-gu%C3%A9liz-plaza","gueliz","1","3","1320000","24000","appartement","2026-03-28T20:17:04.768Z","","projet_neuf","55","unknown"
"marrakech","2","8149102","À Vendre – Appartement Spacieux à L Badii","https://www.mubawab.ma/fr/a/8149102/%C3%A0-vendre-%E2%80%93-appartement-spacieux-%C3%A0-l-badii","daoudiat","2","4","1250000","9057.97","appartement","2026-03-28T20:17:04.773Z","","etat_bon_/_habitable","138","vente"
"casablanca",,"8286559","Vente d'un bel appartement à Aïn Sebaâ. 2 chambres agréables","https://www.mubawab.ma/fr/pa/8286559/vente-d-un-bel-appartement-%C3%A0-a%C3%AFn-seba%C3%A2-2-chambres-agr%C3%A9ables","ain sebaa","2","3","815000","10061.73","appartement","2026-03-28T20:17:04.770Z","haut_standing","finalise","81","vente"
"casablanca","3","8270243","Appartement a vendre neuf maarif ext","https://www.mubawab.ma/fr/a/8270243/appartement-a-vendre-neuf-maarif-ext","maarif extension","2","2","1550000","19620.25","appartement","2026-03-28T20:17:08.763Z","","etat_bon_/_habitable","79","vente"
"marrakech",,"8317686","Un magnifique appartement à Zhour Targa","https://www.mubawab.ma/fr/a/8317686/un-magnifique-appartement-%C3%A0-zhour-targa","hay targa","1","5","900000","10344.83","appartement","2026-03-28T20:17:09.891Z","","etat_bon_/_habitable","87","unknown"
